[Hz],Trace1[V]
4.500000000E+08,3.41602E-05
4.500000000E+08,1.02481E-04
4.501200000E+08,3.41602E-05
4.501200000E+08,1.36641E-04
4.502400000E+08,3.41602E-05
4.502400000E+08,1.36641E-04
4.503600000E+08,3.41602E-05
4.503600000E+08,1.36641E-04
4.504800000E+08,3.41602E-05
4.504800000E+08,1.36641E-04
4.506000000E+08,3.41602E-05
4.506000000E+08,1.36641E-04
4.507200000E+08,3.41602E-05
4.507200000E+08,1.36641E-04
4.508400000E+08,3.41602E-05
4.508400000E+08,1.36641E-04
4.509600000E+08,3.41602E-05
4.509600000E+08,1.36641E-04
4.510800000E+08,6.83204E-05
4.510800000E+08,1.36641E-04
4.512000000E+08,3.41602E-05
4.512000000E+08,1.36641E-04
4.513200000E+08,6.83204E-05
4.513200000E+08,1.36641E-04
4.514400000E+08,3.41602E-05
4.514400000E+08,1.02481E-04
4.515600000E+08,6.83204E-05
4.515600000E+08,1.36641E-04
4.516800000E+08,3.41602E-05
4.516800000E+08,1.36641E-04
4.518000000E+08,3.41602E-05
4.518000000E+08,1.36641E-04
4.519200000E+08,3.41602E-05
4.519200000E+08,1.36641E-04
4.520400000E+08,3.41602E-05
4.520400000E+08,1.36641E-04
4.521600000E+08,3.41602E-05
4.521600000E+08,1.36641E-04
4.522800000E+08,3.41602E-05
4.522800000E+08,1.36641E-04
4.524000000E+08,3.41602E-05
4.524000000E+08,1.36641E-04
4.525200000E+08,3.41602E-05
4.525200000E+08,1.36641E-04
4.526400000E+08,3.41602E-05
4.526400000E+08,1.36641E-04
4.527600000E+08,3.41602E-05
4.527600000E+08,1.36641E-04
4.528800000E+08,3.41602E-05
4.528800000E+08,1.36641E-04
4.530000000E+08,3.41602E-05
4.530000000E+08,1.36641E-04
4.531200000E+08,3.41602E-05
4.531200000E+08,1.70801E-04
4.532400000E+08,3.41602E-05
4.532400000E+08,1.36641E-04
4.533600000E+08,3.41602E-05
4.533600000E+08,1.36641E-04
4.534800000E+08,3.41602E-05
4.534800000E+08,1.70801E-04
4.536000000E+08,3.41602E-05
4.536000000E+08,1.70801E-04
4.537200000E+08,3.41602E-05
4.537200000E+08,1.36641E-04
4.538400000E+08,6.83204E-05
4.538400000E+08,1.36641E-04
4.539600000E+08,3.41602E-05
4.539600000E+08,1.36641E-04
4.540800000E+08,3.41602E-05
4.540800000E+08,1.70801E-04
4.542000000E+08,3.41602E-05
4.542000000E+08,1.36641E-04
4.543200000E+08,3.41602E-05
4.543200000E+08,1.36641E-04
4.544400000E+08,6.83204E-05
4.544400000E+08,1.70801E-04
4.545600000E+08,3.41602E-05
4.545600000E+08,1.36641E-04
4.546800000E+08,3.41602E-05
4.546800000E+08,1.36641E-04
4.548000000E+08,3.41602E-05
4.548000000E+08,1.70801E-04
4.549200000E+08,6.83204E-05
4.549200000E+08,1.70801E-04
4.550400000E+08,3.41602E-05
4.550400000E+08,1.36641E-04
4.551600000E+08,3.41602E-05
4.551600000E+08,1.70801E-04
