[Hz],Trace1[V]
4.300000000E+08,0.00000E+00
4.300000000E+08,6.83204E-05
4.302000000E+08,0.00000E+00
4.302000000E+08,6.83204E-05
4.304000000E+08,3.41602E-05
4.304000000E+08,6.83204E-05
4.306000000E+08,0.00000E+00
4.306000000E+08,6.83204E-05
4.308000000E+08,0.00000E+00
4.308000000E+08,6.83204E-05
4.310000000E+08,0.00000E+00
4.310000000E+08,6.83204E-05
4.312000000E+08,0.00000E+00
4.312000000E+08,6.83204E-05
4.314000000E+08,3.41602E-05
4.314000000E+08,6.83204E-05
4.316000000E+08,0.00000E+00
4.316000000E+08,6.83204E-05
4.318000000E+08,0.00000E+00
4.318000000E+08,6.83204E-05
4.320000000E+08,3.41602E-05
4.320000000E+08,6.83204E-05
4.322000000E+08,0.00000E+00
4.322000000E+08,6.83204E-05
4.324000000E+08,0.00000E+00
4.324000000E+08,6.83204E-05
4.326000000E+08,0.00000E+00
4.326000000E+08,6.83204E-05
4.328000000E+08,3.41602E-05
4.328000000E+08,6.83204E-05
4.330000000E+08,3.41602E-05
4.330000000E+08,6.83204E-05
4.332000000E+08,0.00000E+00
4.332000000E+08,6.83204E-05
4.334000000E+08,3.41602E-05
4.334000000E+08,6.83204E-05
4.336000000E+08,3.41602E-05
4.336000000E+08,6.83204E-05
4.338000000E+08,3.41602E-05
4.338000000E+08,6.83204E-05
4.340000000E+08,0.00000E+00
4.340000000E+08,6.83204E-05
4.342000000E+08,3.41602E-05
4.342000000E+08,6.83204E-05
4.344000000E+08,3.41602E-05
4.344000000E+08,6.83204E-05
4.346000000E+08,3.41602E-05
4.346000000E+08,6.83204E-05
4.348000000E+08,3.41602E-05
4.348000000E+08,6.83204E-05
4.350000000E+08,3.41602E-05
4.350000000E+08,6.83204E-05
4.352000000E+08,3.41602E-05
4.352000000E+08,6.83204E-05
4.354000000E+08,3.41602E-05
4.354000000E+08,6.83204E-05
4.356000000E+08,3.41602E-05
4.356000000E+08,6.83204E-05
4.358000000E+08,3.41602E-05
4.358000000E+08,6.83204E-05
4.360000000E+08,0.00000E+00
4.360000000E+08,6.83204E-05
4.362000000E+08,3.41602E-05
4.362000000E+08,6.83204E-05
4.364000000E+08,3.41602E-05
4.364000000E+08,6.83204E-05
4.366000000E+08,3.41602E-05
4.366000000E+08,6.83204E-05
4.368000000E+08,0.00000E+00
4.368000000E+08,6.83204E-05
4.370000000E+08,3.41602E-05
4.370000000E+08,6.83204E-05
4.372000000E+08,0.00000E+00
4.372000000E+08,6.83204E-05
4.374000000E+08,3.41602E-05
4.374000000E+08,6.83204E-05
4.376000000E+08,3.41602E-05
4.376000000E+08,6.83204E-05
4.378000000E+08,3.41602E-05
4.378000000E+08,6.83204E-05
4.380000000E+08,3.41602E-05
4.380000000E+08,6.83204E-05
4.382000000E+08,0.00000E+00
4.382000000E+08,6.83204E-05
4.384000000E+08,3.41602E-05
4.384000000E+08,6.83204E-05
4.386000000E+08,3.41602E-05
4.386000000E+08,6.83204E-05
4.388000000E+08,3.41602E-05
4.388000000E+08,6.83204E-05
4.390000000E+08,0.00000E+00
4.390000000E+08,6.83204E-05
4.392000000E+08,3.41602E-05
4.392000000E+08,6.83204E-05
4.394000000E+08,3.41602E-05
4.394000000E+08,6.83204E-05
4.396000000E+08,3.41602E-05
4.396000000E+08,6.83204E-05
4.398000000E+08,3.41602E-05
4.398000000E+08,6.83204E-05
4.400000000E+08,3.41602E-05
4.400000000E+08,6.83204E-05
4.402000000E+08,3.41602E-05
4.402000000E+08,6.83204E-05
4.404000000E+08,3.41602E-05
4.404000000E+08,6.83204E-05
4.406000000E+08,3.41602E-05
4.406000000E+08,6.83204E-05
4.408000000E+08,3.41602E-05
4.408000000E+08,6.83204E-05
4.410000000E+08,3.41602E-05
4.410000000E+08,6.83204E-05
4.412000000E+08,3.41602E-05
4.412000000E+08,6.83204E-05
4.414000000E+08,3.41602E-05
4.414000000E+08,6.83204E-05
4.416000000E+08,3.41602E-05
4.416000000E+08,6.83204E-05
4.418000000E+08,3.41602E-05
4.418000000E+08,1.02481E-04
4.420000000E+08,3.41602E-05
4.420000000E+08,6.83204E-05
4.422000000E+08,3.41602E-05
4.422000000E+08,1.02481E-04
4.424000000E+08,0.00000E+00
4.424000000E+08,6.83204E-05
4.426000000E+08,3.41602E-05
4.426000000E+08,6.83204E-05
4.428000000E+08,3.41602E-05
4.428000000E+08,6.83204E-05
4.430000000E+08,3.41602E-05
4.430000000E+08,6.83204E-05
4.432000000E+08,3.41602E-05
4.432000000E+08,6.83204E-05
4.434000000E+08,3.41602E-05
4.434000000E+08,6.83204E-05
4.436000000E+08,3.41602E-05
4.436000000E+08,6.83204E-05
4.438000000E+08,3.41602E-05
4.438000000E+08,6.83204E-05
